english	italiano	freq	cat.gram
justice, fairness	giustizia	379	Sostantivo
couple	coppia	354	Sostantivo
brother	fratello	342	Sostantivo
services	servizi	358	Sostantivo
certain	certa	324	Aggettivo
affair, event	vicenda	354	Sostantivo
the want	vogliono	321	Verbo
it / he / she left, let go	lascia	324	Verbo
necessary	necessario	331	Aggettivo
<TEXT>	napoli	405	Nome proprio
certain	certi	339	Aggettivo
silence	silenzio	348	Sostantivo
certainly	certamente	322	Avverbio
<TEXT>	italiani	370	Sostantivo
<TEXT>	leader	446	Sostantivo
comparisons, contests, matches	confronti	326	Sostantivo in Preposizione
eye	occhio	322	Sostantivo
I think	penso	330	Verbo
books	libri	357	Sostantivo
price	prezzo	338	Sostantivo
streets	strade	331	Sostantivo
<TEXT>	antonio	383	Nome proprio
in particular	in particolare	327	Avverbio
fashion, trend	moda	404	Sostantivo
epoch, time	epoca	326	Sostantivo
we must	dobbiamo	309	Verbo
room	stanza	348	Sostantivo
as, since, forasmuch as 	poiché	348	Congiunzione
weight	peso	318	Sostantivo
<TEXT>	germania	362	Nome proprio
responsibility	responsabilità	339	Sostantivo
republic	repubblica	383	Sostantivo
dates	dati	371	Sostantivo
it / he / she is worth	vale	313	Verbo
money	denaro	320	Sostantivo
we can	possiamo	317	Verbo
managed	riuscito	324	Verbo in Tempo composto di un verbo
particular, especially	particolare	322	Aggettivo in Avverbio
direction, guidance	guida	362	Sostantivo
to obtain	ottenere	325	Verbo
our (f.p)	nostre	317	Aggettivo
October	ottobre	348	Sostantivo
similar	simile	311	Aggettivo
community	comunità	356	Sostantivo
king	re	377	Sostantivo
to exit	uscire	318	Verbo
it / he / she wants	vuol	314	Verbo
thought	pensato	328	Verbo in Tempo composto di un verbo
style	stile	322	Sostantivo
April	aprile	348	Sostantivo
they would have	avrebbero	331	Verbo ausiliare in Tempo composto di un verbo
black	nero	326	Aggettivo
to, by, beside, next to	presso	321	Preposizione
it / he / she lives	vive	324	Verbo
you have	hai	398	Verbo ausiliare in Tempo composto di un verbo
impossible	impossibile	306	Aggettivo
god	dio	384	Nome proprio
understood	capito	328	Verbo in Tempo composto di un verbo
it / he / she might make	faccia	317	Sostantivo
so far, until now	finora	319	Avverbio
current, present, existing	attuale	327	Aggettivo
they will be	saranno	312	Verbo
province	provincia	334	Sostantivo
as example	ad esempio	329	Avverbio
they go	vanno	304	Verbo
career	carriera	339	Sostantivo
forgotten	perso	317	Verbo in Tempo composto di un verbo
news, information	notizia	314	Sostantivo
to leave, to let go of	lasciare	303	Verbo
exactly, precisely	appunto	303	Avverbio
easy	felice	325	Aggettivo
administration	amministrazione	338	Sostantivo
<TEXT>	francesco	359	Nome proprio
suggestion, proposal	proposta	318	Sostantivo
it / he / she said	diceva	323	Verbo
to hold, to keep	tenere	305	Verbo
until, till	fin	304	Preposizione in Preposizione
football	calcio	434	Sostantivo
hall, room	sala	316	Sostantivo
at times, sometimes	a volte	312	Avverbio
moviment	movimento	325	Sostantivo
<TEXT>	mario	352	Nome proprio
characters, figures	personaggi	330	Sostantivo
facts	fatti	320	Sostantivo
counts, bills	conti	336	Sostantivo
remained, stayed	rimasto	301	Verbo in Tempo composto di un verbo
it / he /she searches	cerca	299	Verbo
centre, base	sede	323	Sostantivo
request, claim	richiesta	318	Sostantivo
there were	c'erano	318	Verbo
necessity	necessità	304	Sostantivo
they could	potrebbero	309	Verbo
natural	naturale	316	Aggettivo
she, it (f.s)	essa	341	Pronome
to here, to feel	sentire	304	Verbo
area, region	area	325	Sostantivo
american	americano	333	Aggettivo
december	dicembre	318	Sostantivo
judge	giudice	366	Sostantivo
<TEXT>	giuseppe	366	Nome proprio
to face, to confront	affrontare	302	Verbo
late	tardi	332	Avverbio
speech, talk	discorso	302	Sostantivo
to stand	stare	306	Verbo
look gaze	sguardo	333	Sostantivo
it / he / she begins	comincia	292	Verbo
help	aiuto	297	Sostantivo
english	inglese	310	Aggettivo
made	fatta	291	Verbo in Tempo composto di un verbo
protagonist	protagonista	340	Sostantivo
rule	regole	307	Sostantivo
to join, to catch up with	raggiungere	294	Verbo
kind, sort	sorta	288	Sostantivo
<TEXT>	roberto	340	Nome proprio
therefore, so, for this reason	perciò	306	Congiunzione
considerably, greatly, much	assai	294	Avverbio
North	nord	334	Sostantivo
health	salute	317	Sostantivo
direction	direzione	306	Sostantivo
truly, really, actually	veramente	289	Avverbio
it / he / she supports, bears, carries	sostiene	316	Verbo
it / he / she answers	risponde	303	Verbo
images	immagini	314	Sostantivo
aspect, appearance	aspetto	297	Sostantivo
varied, various	varie	298	Aggettivo
interior, inside	interno	295	Sostantivo in Preposizione
they seem	sembrano	286	Verbo
firm, company, business	azienda	314	Sostantivo
serious	grave	287	Aggettivo
character	personaggio	311	Sostantivo
<TEXT>	york	317	Nome proprio in Nome proprio
they know	sanno	281	Verbo
become	diventato	286	Verbo in Tempo composto di un verbo
surprise	sorpresa	286	Sostantivo
March	marzo	309	Sostantivo
it / he / she has given	ha dato	290	Verbo
judgment, opinion	giudizio	300	Sostantivo
<TEXT>	londra	301	Nome proprio
to ask	chiedere	291	Verbo
prduction	produzione	334	Sostantivo
wish, desire	desiderio	296	Sostantivo
safe, certain, sure	sicuro	290	Aggettivo
idea, plan	idee	300	Sostantivo
also	anch'	299	Avverbio
author	autore	322	Sostantivo
I would have	avrei	315	Verbo ausiliare in Tempo composto di un verbo
it / he / she passes, goes past	passa	283	Verbo
initiative	iniziativa	297	Sostantivo
task, assignment	compito	279	Sostantivo
absolutely	assolutamente	273	Avverbio
director	regista	410	Sostantivo
uncertain	dubbio	281	Sostantivo
dollars	dollari	321	Sostantivo
election	elezioni	405	Sostantivo
arrived	arrivato	301	Verbo in Tempo composto di un verbo
thought	pensiero	297	Sostantivo
capable	capace	276	Aggettivo
halfs	mezzi	291	Sostantivo
solicitor, lawyer	avvocato	309	Sostantivo
groups	gruppi	317	Sostantivo
it / he / she returns	torna	273	Verbo
names	nomi	296	Sostantivo
classes, formes	classe	279	Sostantivo
colours	colori	306	Sostantivo
it / he / she puts	mette	286	Verbo
<TEXT>	maria	317	Nome proprio
I would like	vorrei	298	Verbo
entrance	ingresso	284	Sostantivo
affairs	affari	288	Sostantivo
medic	medico	304	Sostantivo
families	famiglie	298	Sostantivo
certain	certe	282	Aggettivo
victory	vittoria	347	Sostantivo
jail	carcere	384	Sostantivo
global, worldwide	mondiale	302	Aggettivo
unfortunately	purtroppo	278	Avverbio
example, model, design	modello	291	Sostantivo
South	sud	295	Sostantivo
spirit	spirito	286	Sostantivo
evening	serata	316	Sostantivo
surely	sicuramente	273	Avverbio
interests	interessi	292	Sostantivo
pieces	pezzi	275	Sostantivo
sex	sesso	320	Sostantivo
pages	pagine	296	Sostantivo
battles	battaglia	291	Sostantivo
inquiry, case	inchiesta	353	Sostantivo
reasons	ragioni	274	Sostantivo
places, positions	posti	280	Sostantivo
to play	giocare	313	Verbo
outside	fiori	296	Sostantivo
mouth	bocca	297	Sostantivo
besides	del resto	263	Avverbio
cause	causa	275	Sostantivo
to please	piacere	291	Sostantivo
weapons	armi	290	Sostantivo
motives	motivi	275	Sostantivo
free, available	libero	260	Aggettivo
until, as long as	finché	276	Congiunzione
they have made	hanno fatto	269	Verbo
<TEXT>	pur	266	Congiunzione
passion	passione	277	Sostantivo
directly, straight	direttamente	267	Avverbio
wind	vento	285	Sostantivo
civil	civile	280	Aggettivo
one's own	propri	266	Aggettivo
upper, higher, superior	superiore	269	Aggettivo
central	centrale	280	Aggettivo
association, organization	associazione	291	Sostantivo
about a thousand, numbering in the thousands	migliaia	276	Sostantivo
State Police	carabinieri	456	Sostantivo
particularly	particolarmente	272	Avverbio
care, cure	cura	267	Sostantivo
sport	sport	319	Sostantivo
in front of	davanti a	282	Preposizione
arrival	arrivo	273	Sostantivo
memory	memoria	272	Sostantivo
novelty	novità	281	Sostantivo
development	sviluppo	303	Sostantivo
gone	andato	279	Verbo in Tempo composto di un verbo
conclusion, end	termine	277	Sostantivo
explained	spiegato	292	Verbo in Tempo composto di un verbo
altogether, perfectly, quite, totally	del tutto	265	Avverbio
