italiano	freq	Cat.Gram	english
responsabilità	339	Sostantivo	responsibility
repubblica	383	Sostantivo	republic
dati	371	Sostantivo	dates
vale	313	Verbo	it / he / she is worth
denaro	320	Sostantivo	money
possiamo	317	Verbo	we can
riuscito	324	Verbo in Tempo composto di un verbo	managed
particolare	322	Aggettivo in Avverbio	particular, especially
guida	362	Sostantivo	direction, guidance
ottenere	325	Verbo	to obtain
nostre	317	Aggettivo	our (f.p)
ottobre	348	Sostantivo	October
simile	311	Aggettivo	similar
comunità	356	Sostantivo	community
re	377	Sostantivo	king
uscire	318	Verbo	to exit
vuol	314	Verbo	it / he / she wants
pensato	328	Verbo in Tempo composto di un verbo	thought
stile	322	Sostantivo	style
aprile	348	Sostantivo	April
avrebbero	331	Verbo ausiliare in Tempo composto di un verbo	they would have
nero	326	Aggettivo	black
presso	321	Preposizione	to, by, beside, next to
vive	324	Verbo	it / he / she lives
hai	398	Verbo ausiliare in Tempo composto di un verbo	you have
impossibile	306	Aggettivo	impossible
capito	328	Verbo in Tempo composto di un verbo	understood
faccia	317	Sostantivo	it / he / she might make
finora	319	Avverbio	so far, until now
attuale	327	Aggettivo	current, present, existing
saranno	312	Verbo	they will be
provincia	334	Sostantivo	province
ad esempio	329	Avverbio	as example
vanno	304	Verbo	they go
carriera	339	Sostantivo	career
perso	317	Verbo in Tempo composto di un verbo	forgotten
notizia	314	Sostantivo	news, information
lasciare	303	Verbo	to leave, to let go of
appunto	303	Avverbio	exactly, precisely
felice	325	Aggettivo	easy
amministrazione	338	Sostantivo	administration
proposta	318	Sostantivo	suggestion, proposal
diceva	323	Verbo	it / he / she said
tenere	305	Verbo	to hold, to keep
fin	304	Preposizione in Preposizione	until, till
calcio	434	Sostantivo	football
sala	316	Sostantivo	hall, room
a volte	312	Avverbio	at times, sometimes
movimento	325	Sostantivo	moviment
personaggi	330	Sostantivo	characters, figures
fatti	320	Sostantivo	facts
conti	336	Sostantivo	counts, bills
rimasto	301	Verbo in Tempo composto di un verbo	remained, stayed
cerca	299	Verbo	it / he /she searches
sede	323	Sostantivo	centre, base
richiesta	318	Sostantivo	request, claim
c'erano	318	Verbo	there were
necessità	304	Sostantivo	necessity
potrebbero	309	Verbo	they could
naturale	316	Aggettivo	natural
essa	341	Pronome	she, it (f.s)
sentire	304	Verbo	to here, to feel
area	325	Sostantivo	area, region
americano	333	Aggettivo	american
dicembre	318	Sostantivo	december
giudice	366	Sostantivo	judge
affrontare	302	Verbo	to face, to confront
tardi	332	Avverbio	late
discorso	302	Sostantivo	speech, talk
stare	306	Verbo	to stand
sguardo	333	Sostantivo	look gaze
comincia	292	Verbo	it / he / she begins
aiuto	297	Sostantivo	help
inglese	310	Aggettivo	english
fatta	291	Verbo in Tempo composto di un verbo	made
protagonista	340	Sostantivo	protagonist
regole	307	Sostantivo	rule
raggiungere	294	Verbo	to join, to catch up with
sorta	288	Sostantivo	kind, sort
perciò	306	Congiunzione	therefore, so, for this reason
assai	294	Avverbio	considerably, greatly, much
nord	334	Sostantivo	North
salute	317	Sostantivo	health
direzione	306	Sostantivo	direction
veramente	289	Avverbio	truly, really, actually
sostiene	316	Verbo	it / he / she supports, bears, carries
risponde	303	Verbo	it / he / she answers
immagini	314	Sostantivo	images
aspetto	297	Sostantivo	aspect, appearance
varie	298	Aggettivo	varied, various
interno	295	Sostantivo in Preposizione	interior, inside
sembrano	286	Verbo	they seem
azienda	314	Sostantivo	firm, company, business
grave	287	Aggettivo	serious
personaggio	311	Sostantivo	character
sanno	281	Verbo	they know
diventato	286	Verbo in Tempo composto di un verbo	become
sorpresa	286	Sostantivo	surprise
marzo	309	Sostantivo	March
ha dato	290	Verbo	it / he / she has given
giudizio	300	Sostantivo	judgment, opinion
chiedere	291	Verbo	to ask
produzione	334	Sostantivo	prduction
desiderio	296	Sostantivo	wish, desire
sicuro	290	Aggettivo	safe, certain, sure
idee	300	Sostantivo	idea, plan
anch'	299	Avverbio	also
autore	322	Sostantivo	author
avrei	315	Verbo ausiliare in Tempo composto di un verbo	I would have
passa	283	Verbo	it / he / she passes, goes past
iniziativa	297	Sostantivo	initiative
compito	279	Sostantivo	task, assignment
assolutamente	273	Avverbio	absolutely
regista	410	Sostantivo	director
dubbio	281	Sostantivo	uncertain
dollari	321	Sostantivo	dollars
elezioni	405	Sostantivo	election
arrivato	301	Verbo in Tempo composto di un verbo	arrived
pensiero	297	Sostantivo	thought
capace	276	Aggettivo	capable
mezzi	291	Sostantivo	halfs
avvocato	309	Sostantivo	solicitor, lawyer
gruppi	317	Sostantivo	groups
torna	273	Verbo	it / he / she returns
nomi	296	Sostantivo	names
classe	279	Sostantivo	classes, formes
colori	306	Sostantivo	colours
mette	286	Verbo	it / he / she puts
vorrei	298	Verbo	I would like
ingresso	284	Sostantivo	entrance
affari	288	Sostantivo	affairs
medico	304	Sostantivo	medic
famiglie	298	Sostantivo	families
certe	282	Aggettivo	certain
vittoria	347	Sostantivo	victory
carcere	384	Sostantivo	jail
mondiale	302	Aggettivo	global, worldwide
purtroppo	278	Avverbio	unfortunately
modello	291	Sostantivo	example, model, design
sud	295	Sostantivo	South
spirito	286	Sostantivo	spirit
serata	316	Sostantivo	evening
sicuramente	273	Avverbio	surely
interessi	292	Sostantivo	interests
pezzi	275	Sostantivo	pieces
sesso	320	Sostantivo	sex
pagine	296	Sostantivo	pages
battaglia	291	Sostantivo	battles
inchiesta	353	Sostantivo	inquiry, case
ragioni	274	Sostantivo	reasons
posti	280	Sostantivo	places, positions
giocare	313	Verbo	to play
fiori	296	Sostantivo	outside
bocca	297	Sostantivo	mouth
del resto	263	Avverbio	besides
causa	275	Sostantivo	cause
piacere	291	Sostantivo	to please
armi	290	Sostantivo	weapons
motivi	275	Sostantivo	motives
libero	260	Aggettivo	free, available
finché	276	Congiunzione	until, as long as
hanno fatto	269	Verbo	they have made
passione	277	Sostantivo	passion
direttamente	267	Avverbio	directly, straight
vento	285	Sostantivo	wind
civile	280	Aggettivo	civil
propri	266	Aggettivo	one's own
superiore	269	Aggettivo	upper, higher, superior
centrale	280	Aggettivo	central
associazione	291	Sostantivo	association, organization
migliaia	276	Sostantivo	about a thousand, numbering in the thousands
carabinieri	456	Sostantivo	State Police
particolarmente	272	Avverbio	particularly
cura	267	Sostantivo	care, cure
sport	319	Sostantivo	sport
davanti a	282	Preposizione	in front of
arrivo	273	Sostantivo	arrival
memoria	272	Sostantivo	memory
novità	281	Sostantivo	novelty
sviluppo	303	Sostantivo	development
andato	279	Verbo in Tempo composto di un verbo	gone
termine	277	Sostantivo	conclusion, end
spiegato	292	Verbo in Tempo composto di un verbo	explained
del tutto	265	Avverbio	altogether, perfectly, quite, totally
studi	276	Sostantivo	studies
farà	262	Verbo	it / he / she will make, do
prodotti	305	Sostantivo	products
partita	407	Sostantivo	match, game
giornalisti	284	Sostantivo	journalist
essi	299	Pronome	it, they (m.p)
carattere	269	Sostantivo	character, personality, nature, temper
avrà	263	Verbo	it / he / she will have
scelto	261	Verbo in Tempo composto di un verbo	selected, chosen
tema	290	Sostantivo	theme, subject
colpa	261	Sostantivo	fault, sin
presente	268	Aggettivo	present
intera	254	Aggettivo	whole, complete
corte	278	Sostantivo	court
effetti	275	Sostantivo	effects
ultime	263	Aggettivo	final, last
reale	262	Aggettivo	real, actual
bianco	271	Aggettivo	white
cercato	257	Verbo in Tempo composto di un verbo	searched
lotta	260	Sostantivo	fight, conflict
cittadini	301	Sostantivo	citizens
febbraio	292	Sostantivo	February
elementi	272	Sostantivo	elements
prende	251	Verbo	it / he / she takes
venti	251	Numerale	twenty
cielo	287	Sostantivo	sky
vari	268	Aggettivo	various
economica	315	Aggettivo	cheap, inexpensive
occorre	263	Verbo	it / he / she occurs, requires
piccole	266	Aggettivo	little, small
migliori	254	Aggettivo	better, best
diversa	257	Aggettivo	different
devo	298	Verbo	I must
scrive	269	Verbo	it / he / she writes
passaggio	255	Sostantivo	passage, crossing
medici	282	Sostantivo	doctors
