italiano	freq	Cat.Gram	english
indagini	337	Sostantivo	<TEXT>
conti	336	Sostantivo	counts, bills
chiama	335	Verbo	it / he / she calls
nord	334	Sostantivo	North
scritto	334	Verbo in Tempo composto di un verbo	written
provincia	334	Sostantivo	province
produzione	334	Sostantivo	prduction
farsi	334	Verbo	to make oneself
piena	334	Aggettivo	full
sguardo	333	Sostantivo	look gaze
pensa	333	Verbo	it / he / she thinks
effetto	333	Sostantivo	effect
americano	333	Aggettivo	american
lavori	332	Sostantivo	you work
traffico	332	Sostantivo	<TEXT>
tardi	332	Avverbio	late
giudici	331	Sostantivo	<TEXT>
strade	331	Sostantivo	streets
avrebbero	331	Verbo ausiliare in Tempo composto di un verbo	they would have
necessario	331	Aggettivo	necessary
completamente	330	Avverbio	completely, totally, altogether
farlo	330	Verbo	to make it / him
penso	330	Verbo	I think
personaggi	330	Sostantivo	characters, figures
gol	329	Sostantivo	<TEXT>
importanti	329	Aggettivo	important
ad esempio	329	Avverbio	as example
pensato	328	Verbo in Tempo composto di un verbo	thought
perfino	328	Avverbio	even (including)
capito	328	Verbo in Tempo composto di un verbo	understood
attuale	327	Aggettivo	current, present, existing
in particolare	327	Avverbio	in particular
nero	326	Aggettivo	black
epoca	326	Sostantivo	epoch, time
confronti	326	Sostantivo in Preposizione	comparisons, contests, matches
felice	325	Aggettivo	easy
area	325	Sostantivo	area, region
movimento	325	Sostantivo	moviment
ottenere	325	Verbo	to obtain
riuscito	324	Verbo in Tempo composto di un verbo	managed
lascia	324	Verbo	it / he / she left, let go
certa	324	Aggettivo	certain
vive	324	Verbo	it / he / she lives
diceva	323	Verbo	it / he / she said
motivo	323	Sostantivo	reason, cause
sede	323	Sostantivo	centre, base
occhio	322	Sostantivo	eye
particolare	322	Aggettivo in Avverbio	particular, especially
stile	322	Sostantivo	style
certamente	322	Avverbio	certainly
autore	322	Sostantivo	author
cercare	322	Verbo	to search
vogliono	321	Verbo	the want
dollari	321	Sostantivo	dollars
presso	321	Preposizione	to, by, beside, next to
sesso	320	Sostantivo	sex
fatti	320	Sostantivo	facts
denaro	320	Sostantivo	money
finora	319	Avverbio	so far, until now
sport	319	Sostantivo	sport
dicembre	318	Sostantivo	december
richiesta	318	Sostantivo	request, claim
c'erano	318	Verbo	there were
proposta	318	Sostantivo	suggestion, proposal
uscire	318	Verbo	to exit
peso	318	Sostantivo	weight
gruppi	317	Sostantivo	groups
possiamo	317	Verbo	we can
salute	317	Sostantivo	health
signor	317	Sostantivo	<TEXT>
faccia	317	Sostantivo	it / he / she might make
perso	317	Verbo in Tempo composto di un verbo	forgotten
nostre	317	Aggettivo	our (f.p)
sala	316	Sostantivo	hall, room
serata	316	Sostantivo	evening
naturale	316	Aggettivo	natural
sostiene	316	Verbo	it / he / she supports, bears, carries
avrei	315	Verbo ausiliare in Tempo composto di un verbo	I would have
economica	315	Aggettivo	<TEXT>
immagini	314	Sostantivo	images
notizia	314	Sostantivo	news, information
rete	314	Sostantivo	<TEXT>
azienda	314	Sostantivo	firm, company, business
foto *	314	Sostantivo	<TEXT>
vuol	314	Verbo	it / he / she wants
giocare	313	Verbo	to play
vale	313	Verbo	it / he / she is worth
saranno	312	Verbo	they will be
a volte	312	Avverbio	at times, sometimes
simile	311	Aggettivo	similar
personaggio	311	Sostantivo	character
inglese	310	Aggettivo	english
regione	310	Sostantivo	<TEXT>
potrebbero	309	Verbo	they could
avvocato	309	Sostantivo	solicitor, lawyer
marzo	309	Sostantivo	March
dobbiamo	309	Verbo	we must
regole	307	Sostantivo	rule
colori	306	Sostantivo	colours
perciò	306	Congiunzione	therefore, so, for this reason
stare	306	Verbo	to stand
impossibile	306	Aggettivo	impossible
direzione	306	Sostantivo	direction
prodotti	305	Sostantivo	<TEXT>
avesse	305	Verbo ausiliare in Tempo composto di un verbo	<TEXT>
tenere	305	Verbo	to hold, to keep
vanno	304	Verbo	they go
medico	304	Sostantivo	medic
sentire	304	Verbo	to here, to feel
necessità	304	Sostantivo	necessity
fin	304	Preposizione in Preposizione	until, till
lasciare	303	Verbo	to leave, to let go of
risponde	303	Verbo	it / he / she answers
sviluppo	303	Sostantivo	development
appunto	303	Avverbio	exactly, precisely
discorso	302	Sostantivo	speech, talk
affrontare	302	Verbo	to face, to confront
mondiale	302	Aggettivo	global, worldwide
opere	302	Sostantivo	<TEXT>
cittadini	301	Sostantivo	<TEXT>
arrivato	301	Verbo in Tempo composto di un verbo	arrived
rimasto	301	Verbo in Tempo composto di un verbo	remained, stayed
idee	300	Sostantivo	idea, plan
giudizio	300	Sostantivo	judgment, opinion
anch'	299	Avverbio	also
cerca	299	Verbo	it / he /she searches
essi	299	Pronome	<TEXT>
devo	298	Verbo	<TEXT>
vorrei	298	Verbo	I would like
famiglie	298	Sostantivo	families
varie	298	Aggettivo	varied, various
iniziativa	297	Sostantivo	initiative
aspetto	297	Sostantivo	aspect, appearance
pensiero	297	Sostantivo	thought
bocca	297	Sostantivo	mouth
aiuto	297	Sostantivo	help
pagine	296	Sostantivo	pages
dolore	296	Sostantivo	<TEXT>
desiderio	296	Sostantivo	wish, desire
nomi	296	Sostantivo	names
fiori	296	Sostantivo	outside
sud	295	Sostantivo	South
interno	295	Sostantivo in Preposizione	interior, inside
attore	295	Sostantivo	<TEXT>
papà	294	Sostantivo	<TEXT>
raggiungere	294	Verbo	to join, to catch up with
assai	294	Avverbio	considerably, greatly, much
vittima	293	Sostantivo	<TEXT>
televisione	293	Sostantivo	<TEXT>
accusa	292	Sostantivo	<TEXT>
comincia	292	Verbo	it / he / she begins
interessi	292	Sostantivo	interests
febbraio	292	Sostantivo	<TEXT>
economia	292	Sostantivo	<TEXT>
spiegato	292	Verbo in Tempo composto di un verbo	explained
fatta	291	Verbo in Tempo composto di un verbo	made
mezzi	291	Sostantivo	halfs
battaglia	291	Sostantivo	battles
associazione	291	Sostantivo	association, organization
chiedere	291	Verbo	to ask
piacere	291	Sostantivo	to please
modello	291	Sostantivo	example, model, design
ha dato	290	Verbo	it / he / she has given
tema	290	Sostantivo	<TEXT>
assessore	290	Sostantivo	<TEXT>
armi	290	Sostantivo	weapons
sicuro	290	Aggettivo	safe, certain, sure
veramente	289	Avverbio	truly, really, actually
pubblici	289	Aggettivo	<TEXT>
omicidio	288	Sostantivo	<TEXT>
affari	288	Sostantivo	affairs
sorta	288	Sostantivo	kind, sort
tribunale	287	Sostantivo	<TEXT>
olio	287	Sostantivo	<TEXT>
grave	287	Aggettivo	serious
cielo	287	Sostantivo	<TEXT>
mette	286	Verbo	it / he / she puts
sorpresa	286	Sostantivo	surprise
spirito	286	Sostantivo	spirit
sembrano	286	Verbo	they seem
diventato	286	Verbo in Tempo composto di un verbo	become
vento	285	Sostantivo	wind
ingresso	284	Sostantivo	entrance
aziende	284	Sostantivo	<TEXT>
giornalisti	284	Sostantivo	<TEXT>
passa	283	Verbo	it / he / she passes, goes past
certe	282	Aggettivo	certain
campionato	282	Sostantivo	<TEXT>
davanti a	282	Preposizione	in front of
medici	282	Sostantivo	<TEXT>
dubbio	281	Sostantivo	uncertain
bambina	281	Sostantivo	<TEXT>
sanno	281	Verbo	they know
vinto	281	Verbo in Tempo composto di un verbo	<TEXT>
novità	281	Sostantivo	novelty
centrale	280	Aggettivo	central
civile	280	Aggettivo	civil
telefono	280	Sostantivo	<TEXT>
posti	280	Sostantivo	places, positions
compito	279	Sostantivo	task, assignment
andato	279	Verbo in Tempo composto di un verbo	gone
classe	279	Sostantivo	classes, formes
purtroppo	278	Avverbio	unfortunately
corte	278	Sostantivo	<TEXT>
termine	277	Sostantivo	conclusion, end
passione	277	Sostantivo	passion
chissà	277	Avverbio	<TEXT>
migliaia	276	Sostantivo	about a thousand, numbering in the thousands
finché	276	Congiunzione	until, as long as
università	276	Sostantivo	<TEXT>
capace	276	Aggettivo	capable
studi	276	Sostantivo	<TEXT>
effetti	275	Sostantivo	<TEXT>
prezzi	275	Sostantivo	<TEXT>
pezzi	275	Sostantivo	pieces
mostra	275	Sostantivo	<TEXT>
motivi	275	Sostantivo	motives
causa	275	Sostantivo	cause
dottor	275	Sostantivo	<TEXT>
ragioni	274	Sostantivo	reasons
chiese	274	Verbo	<TEXT>
